title,location,Price,Rating
Moon Night Camp,Wadi Rum,JOD7,1
Tala Bay Residence,Aqaba,JOD175,4
Arabesque Hotel,Amman,JOD29,3
Mansour Hotel,Amman,JOD10,2
Sharah Mountains Hotel,Wadi Musa,JOD40,3
Lacosta Hotel,Aqaba,JOD80,4
Seven Wonders Luxury Camp,Wadi Musa,JOD75,1
Kempinski Hotel Aqaba,Aqaba,JOD270,5
Dana Tower Hotel,Dana,JOD55,4
Art Hotel Downtown,Amman,JOD52,2
Cloud7 Residences Ayla Aqaba,Aqaba,JOD200,4
Sadeen Amman Hotel,Amman,JOD32,4
Weekend Hotel,Aqaba,JOD23,3
Bubble RumCamp,Wadi Rum,JOD110,0
Petra Rest Home,Wadi Musa,JOD45,5
Bedouin Heritage Camp,Wadi Rum,JOD14,2
Gardens Hotel,Amman,JOD27,3
Shepherd Hotel,Amman,JOD45,3
Panorama Wadi Rum,Wadi Rum,JOD10,5
Sea view hotel,Aqaba,JOD63,3
Petra Guest House Hotel,Wadi Musa,JOD180,4
Desert Melody,Wadi Rum,JOD20,2
Al Jamal Suites,Amman,JOD27,3
Sunset Oasis Camp,Aqaba,JOD22,3
Dair Ghbar Gate Apartments,Amman,JOD40,4
Ma'in Hot Springs,Sowayma,JOD240,5
Solaris Wadi Rum camp,Wadi Rum,JOD6,4
Abu Alsoud Hotel,Amman,JOD27,0
Petra Wassaif Camp,Wadi Musa,JOD40,5
Dead Sea Spa Hotel,Sowayma,JOD77,4
Downtown Hotel Apartments,Amman,JOD68,4
Shams Alweibdeh Hotel Apartments,Amman,JOD60,0
Lilac Hotel - Amman,Amman,JOD59,4
Sufara Hotel Suites,Amman,JOD28,3
Mövenpick Resort Petra,Wadi Musa,JOD293,5
P Quattro Relax Hotel,Wadi Musa,JOD140,4
Rozana Hotel Suite,Amman,JOD35,3
Ayass Hotel,Amman,JOD61,4
WADI RUM-Bedouin Tents,Wadi Rum,JOD20,4
Russian Pilgrim Residence,Sowayma,JOD108,4
Aqaba Gulf Hotel,Aqaba,JOD50,4
Beyond Wadi Rum Camp,Wadi Rum,JOD25,0
"Crowne Plaza Jordan Dead Sea Resort & Spa, an IHG Hotel",Sowayma,JOD145,5
Rakan Apartments,Wadi Musa,JOD33,3
Mövenpick Nabatean Castle Hotel,Wadi Musa,JOD119,5
Al Farooq Hotel Apartments,Amman,JOD34,0
La Locanda Boutique Hotel,Amman,JOD74,3
Kindi Suite Hotel - فندق واجنحة الكندى,Amman,JOD33,3
Aqaba Qazar Hotel,Aqaba,JOD11,1
seven7days hotel,Aqaba,JOD28,0
Rakeen Hotel,Amman,JOD38,3
Atlantis Rum Camp,Wadi Rum,JOD4,1
Al Khaleej Hotel Apartments,Amman,JOD23,3
Wadi Rum Green Desert,Wadi Rum,JOD17,5
Sharah Luxury Camp,Wadi Rum,JOD57,2
Diyarkom Apartment,Amman,JOD41,4
Thara Real Estate,Sowayma,JOD57,0
Panda Hotel Apartments,Amman,JOD31,1
Oryx Hotel Aqaba,Aqaba,JOD86,5
Wadi Rum,Wadi Rum,JOD15,5
Dana Moon Hostel,Dana,JOD25,2
City Tower Hotel,Aqaba,JOD62,4
Shweiki International Hotel,Aqaba,JOD29,2
Grand Hotel Madaba,Madaba,JOD57,4
Thousand Nights Hotel,Amman,JOD65,5
Petra Sella Hotel,Wadi Musa,JOD48,4
Jardaneh Hotel,Aqaba,JOD29,3
Wadi Rum local camp,Wadi Rum,JOD2,3
Al Amer Hostel 2,Aqaba,JOD25,0
Panoramic View,Wadi Musa,JOD13,2
Grand Tala Bay Resort Aqaba,Aqaba,JOD175,5
Le Vendome Hotel,Amman,JOD36,4
Petra 555,Wadi Musa,JOD70,1
Golden Rose Hotel,Aqaba,JOD27,2
Shadi flat airport road,Umm al Kundum,JOD31,0
Bedouin host stars,Wadi Rum,JOD1,0
bedouin future camp,Wadi Rum,JOD10,3
Petra Visitors Apartments,Wadi Musa,JOD32,2
Sunset Oasis Camp,Aqaba,JOD22,1
Dair Ghbar Gate Apartments,Amman,JOD40,2
Abu Alsoud Hotel,Amman,JOD27,4
Dead Sea Spa Hotel,Sowayma,JOD70,4
Lilac Hotel - Amman,Amman,JOD59,4
Sufara Hotel Suites,Amman,JOD28,3
P Quattro Relax Hotel,Wadi Musa,JOD140,4
Rozana Hotel Suite,Amman,JOD35,3
Ayass Hotel,Amman,JOD56,4
WADI RUM-Bedouin Tents,Wadi Rum,JOD20,3
Russian Pilgrim Residence,Sowayma,JOD99,4
Aqaba Gulf Hotel,Aqaba,JOD50,4
Al Farooq Hotel Apartments,Amman,JOD34,2
Robou Al Sharq,Amman,JOD30,4
فندق النهر الخالد,Aqaba,JOD25,3
Alblwi Camp,Wadi Rum,JOD20,1
Crystal House,Wadi Musa,JOD30,5
Wadi Rum Desert Lovers Camp,Wadi Rum,JOD10,1
Grand Palace Hotel,Amman,JOD59,4
Rum Art Hotel,Amman,JOD34,3
Jawharet Alswefiah Hotel Suites,Amman,JOD35,4
